geneNames	GSM1339618	GSM1339619	GSM1339620	GSM1339621	GSM1339622	GSM1339623	GSM1339624	GSM1339625	GSM1339626	GSM1339627	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
YRDC	313.2	317.7	281.9	241	221.5	273.5	346.5	303.2	342.8	336.5	196.8	244.4	203	155.9	258.1	275.1
YTHDC1	1311.7	1346.8	1301.05	1026.7	1009	932.9	892	928.4	1157.45	914.8	1094.35	1130.15	1143.95	1141	920.6	1211.75
YTHDC2	303.866666666667	282.033333333333	240.733333333333	215.866666666667	203.966666666667	211	222.1	234.4	226.833333333333	188.066666666667	196.633333333333	217.433333333333	198.666666666667	210.333333333333	183.366666666667	237
YTHDF1	1427.1	1365.7	1225.6	1136.6	1261.6	1016.9	1235.6	1482.7	1384.3	1364.3	1174.5	1205.2	1020	983.9	1501.2	1184.7
YTHDF2	1445.1	1028	1124.7	914.6	764.2	936	1148.4	995.7	979.4	1089.8	795.3	895.3	855.6	815.8	846.7	953.4
YTHDF3	1194.6	703.5	802	710.1	613.2	563.3	927	678.9	678	799.7	655.2	690	672.3	854.9	586.4	988.9
YWHAB	2888.16666666667	2579.9	3028.06666666667	3024.1	2947.06666666667	3260.96666666667	3013.36666666667	2962.36666666667	3198	3216.7	3132.2	2647.6	2916.43333333333	2876.46666666667	2740.43333333333	2993.06666666667
YWHAE	2110.45	1980.4	1956.8	2332.25	2117.6	2276.9	1684.55	1806.6	2040.25	2131.8	1923.15	2059.8	1993.2	2156.95	1356.2	2263.1
YWHAH	2225.9	2027.8	1904.3	1943.9	2066.6	2250.7	2329.8	1753.6	2046.4	2329.6	2144.3	1936	2424.3	1717.3	1757.1	2548.7
YWHAQ	3846.56666666667	3965.76666666667	3620.63333333333	3348.5	3738.23333333333	3769.46666666667	3301.7	2902.26666666667	3255.73333333333	4247.2	3288.5	4376.56666666667	4060.5	3718.83333333333	4059.96666666667	3859.53333333333
YWHAZ	3166.62	3197.76	3068.08	2901.7	3322.06	3680.78	3458.04	3415.2	3626.94	3891.64	3131.06	3395.6	3366.76	3217.12	2977.24	3413.88
YY1	785.675	713.4	760.3	775.325	723.375	755.55	809.9	877.525	849.65	782.4	657.7	735.775	736.575	794.475	739.575	753.925
YY1AP1	449	581.3	506.8	549.7	599.4	534.7	470.8	779.1	628.9	472.3	409.1	529.4	477.3	509.7	586.1	641.6
ZAK	118.2	96.2	87	108.9	130.3	106.7	172.8	203.6	84.5	206.3	82.1	113.5	175.7	171.4	149.8	180.4
ZAP70	152.9	118.4	125.7	142.4	158.3	122.2	63.9	92.5	201.7	59.2	59.6	35.7	16.4	22.6	67.2	16.6
ZBBX	26.6	13	7	40.2	39.1	10.8	31.1	28	23.2	25.9	2.7	18.4	33.8	29.1	8.5	43.2
ZBED1	1362.1	958.6	1256.6	1121.9	1017.5	1017.2	1373.9	962.8	1148	1004.3	866.6	1068.9	967.1	1132.2	1078.5	766.7
ZBED2	148.8	70.5	115.9	92.1	135.9	86	108.1	128.1	200.9	81.6	57.6	87.5	70.2	55.3	44.9	67.5
ZBED4	87.3	106.45	140.35	112.45	160.9	102.1	160.55	151.65	100.4	117.25	107.1	114.5	105.6	104.1	114.2	117.4
ZBED5	1548.7	1012.7	935	1009	1064.4	901.5	840.9	681.4	997.2	1314.2	889.5	907.7	1019.2	1454	1136	1259.5
ZBED8	190.1	142	143.2	111	135.9	120.3	74.3	111	155.5	136.1	167.9	135.8	213.1	199.3	206.5	192.1
ZBP1	56.3	14.6	11.6	28.7	50.4	14.6	11.3	24.8	37.9	35.5	41.5	12.4	9.7	20.6	10.4	10.6
ZBTB1	631.85	599.4	533.95	434.7	522.9	536.4	519.3	491.3	591.15	684.65	528.1	400.5	470.4	639.55	497.25	609.9
ZBTB10	86.7	114.5	94.2	85.4	52.6	65.7	96.7	124.6	90.8	70.2	99.1	82	104.5	97.4	122.9	106.6
ZBTB11	511.5	530.6	604.2	489	440.6	436.1	525.1	468.8	594.4	445.8	436.5	401.2	397.5	456.4	479.2	465.2
ZBTB14	128.1	144.4	153.8	158.5	166.4	165.9	144.6	113.6	174.15	149.6	105.8	119.95	139.65	162.3	132.15	164.1
ZBTB16	191.6	287.6	207	513	151.6	224.4	194.5	399.9	149.8	98.1	170.8	2119.5	910.1	688.3	1234.7	402
ZBTB17	150.35	134.3	164.75	110.25	172.65	146.55	164.1	186.55	93.65	166.25	148.6	154.75	160.55	179.05	161.15	113.65
ZBTB18	446.3	474.25	510.8	363.65	250.6	343.15	587.8	405.85	253.55	392.2	262.85	374.9	386.75	465.2	329.05	344.55
