geneNames	GSM5176138	GSM5176139	GSM5176140	GSM5176141	GSM5176142	GSM5176143	GSM5176144	GSM5176145	GSM5176146	GSM5176147	GSM5176148
LHX3	289.767	825.509	191.239	209.723	320.468	467.631	414.046	926.638	186.99	387.562	181.112
LHX5	15.0751	56.3353	7.3272	21.5805	18.5408	46.1435	38.5422	54.9253	15.9512	25.0898	14.4677
LHX6	102.37	133.897	89.0649	25.2244	78.9698	55.5042	274.1	130.481	42.9359	48.2914	19.347
LIAS	54.2873	430.185	176.486	140.194	83.1593	49.3193	27.9739	40.6526	9.96529	21.3318	8.88661
LIF	474.133	1009.01	319.711	16.7389	370.428	6216.16	551.028	189.182	298.829	137.468	45.884
LIFR	157.491	573.722	283.461	141.54	152.213	106.516	177.267	230.941	112.496	114.391	79.6601
LIG1	24.5361	486.327	146.087	25.0617	89.2859	81.9155	263.042	384.433	160.564	165.797	44.8823
LIG3	117.3816	299.086	127.196	84.3581	32.2108	196.7644	239.6855	391.552	139.05855	112.31245	94.3566
LIG4	129.693	287.354	101.321	88.9501	130.4	228.821	171.982	522.8	156.382	192.144	102.986
LILRA1	30.10945	140.55835	63.17605	28.683255	70.96005	177.511	86.36985	112.2713	57.5338	27.5737	39.4612
LILRA2	60.0206925	196.85975	26.9111	88.8122	58.4615	131.64685	137.827775	189.822325	42.39159	92.792975	36.83105
LILRA3	80.3694	49.6761	72.6366	12.9227	59.9371	36.1877	213.234	35.1309	135.008	58.0081	12.6672
LILRA4	25.1016	63.5594	135.398	9.12691	22.3024	66.2698	36.0061	85.564	108.223	95.5594	5.37383
LILRA5	80.1288	406.14	63.8967	62.24715	114.537	136.7356	141.268	423.149	86.6896	111.27165	23.9111
LILRA6	189.474	354.359	92.6378	145.279	18.2466	119.183	236.798	222.917	246.438	220.277	131.109
LILRB1	101.4942	113.953	28.5789	28.23165	140.08955	80.33955	92.7916	264.6465	53.5048	32.07005	12.19885
LILRB2	17.193125	59.25505	38.5727	11.56297	16.95321	54.7465	232.231	161.4998	38.39104	69.61758	89.6463
LILRB3	43.007125	252.3091	38.559925	53.47475	60.26455	81.273225	90.971175	106.62565	48.571875	42.342725	18.186105
LILRB4	75.5147	280.447	66.4125	12.3259	56.4305	61.5496	253.966	226.552	108.266	82.0489	11.3176
